Trait_Type,Original_Trait,New_Trait,New_Trait_w_ID
SKIN,Cheetah,Cosmic Cheetah Fur,APE Cosmic Cheetah Fur
SKIN,Magnolia,Royal Blossom,APE Royal Blossom
SKIN,White,Lunar Crystaline,APE Lunar Crystaline
SKIN,Brown,Default,APE Default
SKIN,Rainbow,Chromatic Armor,APE Chromatic Armor
SKIN,Cream,Oblivion Fossil Hide,APE Oblivion Fossil Hide
SKIN,Ocean,Abyssal Glow,APE Abyssal Glow
SKIN,Bronze,Enchanted Onyx,APE Enchanted Onyx
SKIN,Black,Obsidian Flame,APE Obsidian Flame
SKIN,Silver,Starlit Frost,APE Starlit Frost
SKIN,Red,Dragon's Blood,APE Dragon's Blood
SKIN,Dark Brown,Ancient Amber (Might change with Brown),APE Ancient Amber (Might change with Brown)
SKIN,Gold,Celestial Alchemy,APE Celestial Alchemy
SKIN,Blue,Sapphire Frost,APE Sapphire Frost
SKIN,Orange,Phoenix Feathers,APE Phoenix Feathers
SKIN,Robot,Quantum Circuitry,APE Quantum Circuitry
SKIN,Alien,Interstellar Aurora,APE Interstellar Aurora
SKIN,DMT,Psychedelic Spectrum,APE Psychedelic Spectrum
SKIN,Baynana,Tropical Mirage,APE Tropical Mirage
SKIN,Grey,Grey Marble,APE Grey Marble
SKIN,Zombie,Necromancer's Veil,APE Necromancer's Veil
SKIN,Noise,Digital Mirage,APE Digital Mirage
SKIN,Diamond,Celestial Prism,APE Celestial Prism
CLOTHES,Admiral,Jungle Sovereign,APE Jungle Sovereign
CLOTHES,Apelink,Apelink,APE Apelink
CLOTHES,Army,Elite Stealth,APE Elite Stealth
CLOTHES,Baby,Red Toddler,APE Red Toddler
CLOTHES,Bandolier,Desert Raider,APE Desert Raider
CLOTHES,Baynana,Tropical Rebel,APE Tropical Rebel
CLOTHES,Baynanaman,Baynana Avenger,APE Baynana Avenger
CLOTHES,Baysed,Streetwise Swagger,APE Streetwise Swagger
CLOTHES,Biker,Outlaw Overlord,APE Outlaw Overlord
CLOTHES,Blank,Blank,APE Blank
CLOTHES,Bone Necklace,Shaman's Heirloom,APE Shaman's Heirloom
CLOTHES,Caveman,Tribal Warrior,APE Tribal Warrior
CLOTHES,Cowboy,Outlaw Elite,APE Outlaw Elite
CLOTHES,Dress,Gothic Bride,APE Gothic Bride
CLOTHES,Farmer,Warrior of the Fields,APE Warrior of the Fields
CLOTHES,Fisherman,Abyssal Harpooner,APE Abyssal Harpooner
CLOTHES,Glory,Sovereign's Amulet,APE Sovereign's Amulet
CLOTHES,Hawaiian,Rainforest Mosaic,APE Rainforest Mosaic
CLOTHES,Hip-Hop Hoodie,Cypherlord,APE Cypherlord
CLOTHES,Indian,Warrior's Tunic,APE Warrior's Tunic
CLOTHES,Kimono,Oni Kimono,APE Oni Kimono
CLOTHES,King's Robe,Sovereign's Mantle,APE Sovereign's Mantle
CLOTHES,Leather Jacket,Apocalyptic Warrior,APE Apocalyptic Warrior
CLOTHES,Lumberjack,Forester's Guard,APE Forester's Guard
CLOTHES,McPolo,Diner's Champion,APE Diner's Champion
CLOTHES,Mime,Shadow Artist,APE Shadow Artist
CLOTHES,Mummy,Crypt Guardian,APE Crypt Guardian
CLOTHES,Pirate,Dread Captain's Regalia,APE Dread Captain's Regalia
CLOTHES,Police,Riot Commander,APE Riot Commander
CLOTHES,Prison,Escape Artist's Mark,APE Escape Artist's Mark
CLOTHES,Restrain,Speculator's Shackle,APE Speculator's Shackle
CLOTHES,Ripped Tee,Predator's Prize,APE Predator's Prize
CLOTHES,Robe,Warlord's Robe,APE Warlord's Robe
CLOTHES,Robin,Forest Sovereign,APE Forest Sovereign
CLOTHES,Sailor,Admiral of the Abyss,APE Admiral of the Abyss
CLOTHES,Spacesuit,Cosmic Conqueror,APE Cosmic Conqueror
CLOTHES,Striped Tee, Stormbringer Jersey,APE  Stormbringer Jersey
CLOTHES,Suspenders,Tropical Overlord Straps,APE Tropical Overlord Straps
CLOTHES,Tanktop,Dark Warrior's Cuirass,APE Dark Warrior's Cuirass
CLOTHES,Tie Dye,Nebula Core Tee,APE Nebula Core Tee
CLOTHES,Toga,Warlock's Shroud,APE Warlock's Shroud
CLOTHES,Tracksuit,Night Operative's Gear,APE Night Operative's Gear
CLOTHES,Trippy,Abyssal Illusion Tee,APE Abyssal Illusion Tee
CLOTHES,Turtleneck,Shadow Weaver's Neckpiece,APE Shadow Weaver's Neckpiece
CLOTHES,Tuxedo,Midnight Regalia,APE Midnight Regalia
CLOTHES,Tweed,Boardhide Gear,APE Boardhide Gear
CLOTHES,Viking,Warlord's SKIN Mantle,APE Warlord's SKIN Mantle
CLOTHES,XRP Hoodie,XRP Cryptowear Hoodie,APE XRP Cryptowear Hoodie
MOUTH,Angry,Angry,APE Angry
MOUTH,Bite Lips,Bite Lips,APE Bite Lips
MOUTH,Bite Teeth,Bite Teeth,APE Bite Teeth
MOUTH,Bubble,Thorn-Infused Jungle Gum,APE Thorn-Infused Jungle Gum
MOUTH,Cigar,Cyber SKINnace-Cigar,APE Cyber SKINnace-Cigar
MOUTH,Cigarette,Nuclear Nogie,APE Nuclear Nogie
MOUTH,Coin,Pandemonium Pact Coin,APE Pandemonium Pact Coin
MOUTH,Dagger,Shard Blade,APE Shard Blade
MOUTH,Diamond Grill,Abyssal Shine Grill,APE Abyssal Shine Grill
MOUTH,Donut,Ravaged Donut,APE Ravaged Donut
MOUTH,Gold Grill,Sovereign Fang Grill,APE Sovereign Fang Grill
MOUTH,Happy,Happy,APE Happy
MOUTH,Hotdog,Inferno Hotdog,APE Inferno Hotdog
MOUTH,Ledger,Bite-Sec Ledger,APE Bite-Sec Ledger
MOUTH,Multicolor Grill,Prismatic Bite,APE Prismatic Bite
MOUTH,No Expression,No Expression,APE No Expression
MOUTH,Normal,Normal,APE Normal
MOUTH,Pacifier,Mischief's Binky,APE Mischief's Binky
MOUTH,Party Horn,Raucous Reveler,APE Raucous Reveler
MOUTH,Piano Grill,Piano Grill,APE Piano Grill
MOUTH,Pipe,Baynana Puff,APE Baynana Puff
MOUTH,Pizza,Apocalyptic Slice,APE Apocalyptic Slice
MOUTH,Rainbow,Rainbow Spheres,APE Rainbow Spheres
MOUTH,Rose,Thorned Rose,APE Thorned Rose
MOUTH,Rotten Grill,Bronzed Decay Bite,APE Bronzed Decay Bite
MOUTH,S,S,APE S
MOUTH,Sad,Sad,APE Sad
MOUTH,Smug,Smug,APE Smug
MOUTH,Stitch,Zipper Maw,APE Zipper Maw
MOUTH,Tongue,Tongue,APE Tongue
MOUTH,Wooden Grill,Timber Fang Grill,APE Timber Fang Grill
MOUTH,Yawn,Yawn,APE Yawn
MOUTH,Yelling,Yelling,APE Yelling
EYES,3D,Dimensional Spectra Frames,APE Dimensional Spectra Frames
EYES,70s,Retro Neon Eclipse,APE Retro Neon Eclipse
EYES,Angry,Angry,APE Angry
EYES,Arrogant,Arrogant,APE Arrogant
EYES,Blindfold,Mystic Veil Vision,APE Mystic Veil Vision
EYES,Blue Lazer,Cooling SKINy Lazers,APE Cooling SKINy Lazers
EYES,Closed Eyes,Closed Eyes,APE Closed Eyes
EYES,Coins,Brokenana Coins,APE Brokenana Coins
EYES,Cyber Shades,Cyberpunk Visors,APE Cyberpunk Visors
EYES,Cyborg,Dominition Warfare,APE Dominition Warfare
EYES,Eyepatch,Battle-Scarred Tactical Eyepatch,APE Battle-Scarred Tactical Eyepatch
EYES,Happy,Happy,APE Happy
EYES,Heart,Inferno Heart Eyes,APE Inferno Heart Eyes
EYES,Normal,Normal,APE Normal
EYES,Optic Glasses,Broken Optic Glasses,APE Broken Optic Glasses
EYES,Red Lazer,Red Lazer,APE Red Lazer
EYES,Sad,Sad,APE Sad
EYES,Scar,Scar,APE Scar
EYES,Scared,Scared,APE Scared
EYES,Shocked,Shocked,APE Shocked
EYES,Shutter,Crimson Razor Shutters,APE Crimson Razor Shutters
EYES,Shy,Shy,APE Shy
EYES,Stoned,Stoned,APE Stoned
EYES,Tattoo,Tattoo,APE Tattoo
EYES,Thinking,Thinking,APE Thinking
EYES,X-Eyes,X,APE X
EYES,Zombie,Zombie,APE Zombie
HEADWEAR,Army Helmet,Warlord's Combat Helmet,APE Warlord's Combat Helmet
HEADWEAR,Backward Cap,Azure Crest Cap,APE Azure Crest Cap
HEADWEAR,Banana Peel,Toxic Spiked Peel,APE Toxic Spiked Peel
HEADWEAR,Bandana,Rugged Jungle Bandana,APE Rugged Jungle Bandana
HEADWEAR,Beanie,Darkforce Beanie,APE Darkforce Beanie
HEADWEAR,Beanie Cap,Shadow XRP Overcap,APE Shadow XRP Overcap
HEADWEAR,Beret,Warrior's Shadow Beret,APE Warrior's Shadow Beret
HEADWEAR,Blank,Blank,APE Blank
HEADWEAR,Bucket Hat,Storm Surge Bucker Hat,APE Storm Surge Bucker Hat
HEADWEAR,Bunny Ears,Night Prowler Ears,APE Night Prowler Ears
HEADWEAR,Chef Hat,Culinary Warlord's Hat,APE Culinary Warlord's Hat
HEADWEAR,Cowboy,Cowboy Shadow Hat,APE Cowboy Shadow Hat
HEADWEAR,Crown,Sovereign's Dark Coronet,APE Sovereign's Dark Coronet
HEADWEAR,Feather Headband,Spirit Band,APE Spirit Band
HEADWEAR,Fez,Shadowed Jungle Fez,APE Shadowed Jungle Fez
HEADWEAR,Flat Cap,Abyssal Street Cap,APE Abyssal Street Cap
HEADWEAR,Gnome Hat,Inferno Mystic Cap,APE Inferno Mystic Cap
HEADWEAR,Halo,Eclipse Aurora Ring,APE Eclipse Aurora Ring
HEADWEAR,Headband,Crimson Warrior Headband,APE Crimson Warrior Headband
HEADWEAR,Horns,Inferno Wrath Horns,APE Inferno Wrath Horns
HEADWEAR,Jester,Dark Harlequin Hat,APE Dark Harlequin Hat
HEADWEAR,Laurel,Thorned Victory Halo,APE Thorned Victory Halo
HEADWEAR,McCap,Diner's Champion Cap,APE Diner's Champion Cap
HEADWEAR,Mohawk,Razor Crest Mohawk,APE Razor Crest Mohawk
HEADWEAR,P Hat,Spiked Hat Crown,APE Spiked Hat Crown
HEADWEAR,Paper Hat,Cursed Origami Hat,APE Cursed Origami Hat
HEADWEAR,Party Hat,Twilight Carnival Cap,APE Twilight Carnival Cap
HEADWEAR,Pink Hair,Crimson SKINy Mane,APE Crimson SKINy Mane
HEADWEAR,Pirate,Dread Corsair,APE Dread Corsair
